Track,Week,Phase,Weekly Theme,Session Title,What the week is about,Video length / style,Current video ID,Reused?,Action,Also used by weeks,NEW VIDEO URL,Notes
Child,1,1,The Signal and the Noise,Finding Your Station,Sometimes our thoughts and feelings get really noisy — like a radio with too much static. Today we practise noticing when we feel like ourselves versus when we feel a bit lost or scrambled.,3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),nj2ofrX7jAk,YES,KEEP,"4, 33, 34",,"weeks 4, 33, 34 will move off this one"
Child,2,1,The Stories We Carry,What's in Your Backpack?,"We all have little voices in our head that say things about us — sometimes kind things, sometimes not-so-kind things. Today we meet those voices and find out where they came from.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),pTp0O-b0LFI,,KEEP,,,
Child,3,1,The Pattern Interrupt,The Pause Button,Sometimes we do things we didn't really mean to — like snap at someone or say something unkind — almost before we even knew we were doing it. Today we learn a superpower: the pause.,3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),BVAaomgzFCM,YES,KEEP,"24, 30",,"weeks 24, 30 will move off this one"
Child,4,1,What Your Body Is Telling You,Your Feelings Weather Station,"Our bodies are amazing messengers! They tell us when we're scared, excited, tired, or happy — all with feelings inside our body. Today we learn to listen to those feelings.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),nj2ofrX7jAk,YES,REPLACE,"1, 33, 34",,duplicate of week 1
Child,5,1,The Mirror — How We See Ourselves,The True Mirror,"Have you ever looked in a funny mirror that made you look tall or wiggly or squished? Today we think about the mirror we use to look at ourselves — and make sure it's a good, true one.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),0ZcfX2862XE,YES,KEEP,"7, 25, 41",,"weeks 7, 25, 41 will move off this one"
Child,6,1,The Comparison Loop,Your Own Puzzle,"Sometimes we look at other people and wish we were more like them — that we had what they had or could do what they can do. Today we learn why comparing isn't as useful as it feels, and what to do instead.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),kMyk8xSMnzY,,KEEP,,,
Child,7,1,The Inner Critic,Meeting the Gremlin,"Sometimes we have a mean little voice in our head that says unkind things about us — like 'you can't do that' or 'you're not good enough.' Today we find out that this voice isn't telling the truth — and we learn to find the kinder, truer voice.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),0ZcfX2862XE,YES,REPLACE,"5, 25, 41",,duplicate of week 5
Child,8,1,Beneath the Surface — Emotions as Data,The Feelings Iceberg,"Feelings are like messages your heart sends you. Sometimes the messages are easy to understand — 'I'm happy!' or 'I'm sad.' But sometimes feelings are tricky and hidden, like treasure buried under sand. Today we learn to dig and find what's really there.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),d3N7Kgb3JtE,,KEEP,,,
Child,9,1,The Wounds We Carry,The Stone in Your Pocket,"Sometimes things happen that make us feel sad, scared, or hurt — and even when those things are over, we might still feel them inside. Today we talk about those feelings in a gentle, safe way, and remember that carrying something hard doesn't mean we're stuck with it forever.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),7H2pBdLnmGs,YES,KEEP,"16, 23, 49",,"weeks 16, 23, 49 will move off this one"
Child,10,1,The Masks We Wear,The Real Face and the Pretend Faces,Sometimes we act differently around different people — maybe you're super silly with your best friend but quieter at school. Sometimes that's fine! But sometimes we hide the real us because we're worried people won't like us. Today we talk about feeling safe enough to be yourself.,3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),YRaVl-VjF2g,YES,KEEP,38,,weeks 38 will move off this one
Child,11,1,Seeing Others Clearly,Walking Around the Picture,"Sometimes we think we know exactly why someone did something — but we might be wrong! Today we practise the superpower of seeing things from other people's point of view, which is one of the kindest and most useful things you can learn to do.",3–6 min · animated or story-led · gentle (a read-aloud of the week's picture book is ideal),9_1Rt1R4xbM,YES,KEEP,"21, 31, 36, 44, 48",,"weeks 21, 31, 36, 44, 48 will move off this one"
