Week,Phase,Block Theme,Weekly Theme,Audience,Session Title,Core Concept,Opening Hook,Signal Metaphor,Ancient Wisdom Reframe,Teaching Points,Experiential Exercise,Guided Reflection,Journaling Prompt,Weekly Practice (Mon),Weekly Practice (Wed),Weekly Practice (Sun),Core Affirmation,Video Link (YouTube),Video Description,Film Script (2min Narration),Facilitator Notes
1,1,See Clearly,The Signal and the Noise,Teen,Who's Actually Talking?,"You're surrounded by other people's opinions, social media, and expectations — so much that most of us don't know what we actually think or feel anymore. This session is about starting to notice the difference between what's genuinely yours and what you've absorbed.","Quick show of hands — no judgment: Who's ever said something or made a choice, then later thought — 'wait, that wasn't actually what I wanted'? That's the gap we're exploring today.",Imagine your phone has 47 apps running in the background you never opened. Your battery's dying and you don't know why. That's what unconscious noise does to your actual self. Today we start finding the apps.,"Old navigators used stars when everything else was uncertain — not because the stars told them what to do, but because they were reliable. You have something like that too. Most people just never learn to look for it.","1. Your brain is literally wired to absorb other people's behaviour — mirror neurons mean you unconsciously copy moods, reactions, even beliefs of people around you. That's biology, not weakness. But it means a lot of what you think is 'you' might actually be 'them.' | 2. The algorithm knows your patterns better than you do — because most of us have never been taught to examine them. | 3. Self-awareness isn't about being selfish or navel-gazing. It's about knowing which thoughts and reactions are actually yours — so you can choose what to do with them. | 4. This year, we're building that skill. Not perfectly. Just honestly.","SIGNAL OR NOISE? Give everyone a strip of paper. Write down 3 opinions or beliefs you hold — about yourself, school, relationships, the future, anything. Now ask yourself honestly for each one: Did I arrive at this through my own experience? Or did I absorb it from someone else? You don't have to share what you wrote. But share this: Was it harder than you expected?","Phones face down. Eyes closed or looking at the floor. Think about a time in the past week when you felt genuinely good — not performing, not trying to impress anyone. What were you doing? Who were you with? Now think of a moment this week where you felt most anxious or most fake. Notice the gap. That gap is where this year's work lives.",If you stripped away what everyone else expects of you — what would you actually want to do or be right now?,Notice one moment today where you're doing something because YOU want to vs. because you think you should.,Ask someone at home: 'When do you think I seem happiest?' Just listen — don't explain or justify.,Bring back one honest observation about yourself from this week. No performing — just something real.,I am starting to notice the difference between my own voice and everyone else's.,https://www.youtube.com/watch?v=RcGyVTAoXEU,TEDx Talk: 'The Psychology of Self-Motivation' by Scott Geller — explores where your 'why' actually comes from and the difference between intrinsic and extrinsic motivation. Runtime ~14 min.,"FADE IN: A teenager scrolling — liked, liked, swiped, scrolled. Face blank. VOICE: 'How much of what you think about yourself... did you actually decide?' CUT TO: Same teen, phone down, staring out a window. Something shifting. VOICE: 'Mindcast LIVE isn't about finding someone else's answers. It's about learning to ask your own questions.' FADE TO TITLE: Mindcast LIVE — Tune Into Your Inner Self.","Teens need psychological safety first. Don't push sharing. Make it clear that honesty with yourself is the point — not performance. Keep it real and slightly light in tone, but let the content be genuine."
2,1,See Clearly,The Stories We Carry,Teen,The Playlist You Didn't Choose,"A lot of the beliefs we have about ourselves — about our abilities, our worth, what's possible for us — weren't decided by us. They were handed to us. Today we figure out which stories are actually true versus which ones we've just been repeating.","Finish this sentence silently, no sharing yet: 'I'm just not the kind of person who...' Notice how quickly that answer came. That speed? That's a story on autopilot.",Imagine someone handed you a playlist when you were 7 and said 'this is the music of your life.' You've been listening to it ever since. Some tracks are great. Some are genuinely terrible. But you've never actually looked at the playlist. Today we look.,"There's an old idea: 'The fish doesn't know it's wet.' When you've been swimming in a story your whole life, it feels like reality. The practice is climbing out of the water long enough to see it for what it is.","1. Your brain formed most of its self-concept between ages 0 and 10. A lot was happening that you couldn't fully understand. Your brain did its best to make sense of it — and created beliefs that felt true. | 2. These become 'schemas' — mental templates that filter what you notice and how you interpret things. Not facts. Just really old software. | 3. The tricky part: the brain literally filters OUT evidence that contradicts the story. If your story is 'I'm not smart,' your brain notices every mistake and ignores every success. | 4. Noticing the story is the first step to questioning it.","TRACK LISTING: Write down 3 beliefs you seem to carry about yourself — about your ability, your worth, what you're allowed to want. For each one: How old do you think you were when you started believing this? Was there a moment that 'installed' it? Circle the one that feels most like it's been running your life without your permission. Share: was it easy or hard to find them?",Picture the version of you that first started believing the story you circled. How old are they? What's happening around them? They weren't wrong for believing it. It made sense then. But is it still true now? And did you actually choose to keep it — or did it just stay?,"If your best friend had the same belief about themselves that you have about yourself, what would you tell them?",Notice once today when a story seems to be making a choice for you before you even think about it.,"Tell one person one story you're examining — not to explain or justify it, just to name it out loud.",Bring back one moment where you caught a story running. What happened when you noticed it?,I can see where my stories came from. That means I'm bigger than them.,https://www.youtube.com/watch?v=pN34FNbOKXc,YouTube: 'Growth Mindset vs Fixed Mindset' — animated RSA-style explanation of Carol Dweck's research on how beliefs about ability shape outcomes. Runtime ~10 min.,"FADE IN: A teen's bedroom wall covered in notes — things people have said to them. Some kind, some harsh. VOICE: 'At some point, you started believing some of these were true. The ones that hurt most got stuck deepest.' CUT TO: The teen starts pulling notes off the wall. Reading them. Deciding. VOICE: 'Noticing a story doesn't mean it disappears. It means you're finally bigger than it.' FADE TO TITLE: Mindcast LIVE.",Some teens may become emotional accessing early memories. Normalise it: 'noticing is brave.' Never ask anyone to share traumatic content publicly. Written exercise keeps it private and safe.
3,1,See Clearly,The Pattern Interrupt,Teen,The Chat You're Not Reading,You know those moments where you react to something and immediately think 'why did I do that'? That's the pattern. Today we figure out what's actually triggering your automatic reactions — and whether you can find the gap.,"Raise your hand if you've ever sent a text, said something, or walked away from a situation and immediately thought 'I shouldn't have done that.' What does that feel like?",Think of your brain like a group chat that's constantly going. Most of the time you're not consciously reading every message — the chat just runs. The pattern interrupt is when you actually open the chat and decide what to respond to.,"There's an idea: the obstacle is the path — the thing that trips you up shows you exactly where you need to grow. Your patterns aren't your enemies. They're messengers. Loud, sometimes destructive messengers. But still.","1. Your brain has an amygdala — the threat detection centre. When it fires, it hijacks conscious thought in literally milliseconds. You sometimes say or do things before your brain has even registered what's happening. | 2. Triggers for amygdala hijack are usually linked to old emotional memories — not the current situation. When you react hugely to something small, it's usually not about the small thing. | 3. Research by Matthew Lieberman found that labelling a feeling — even silently — reduces amygdala activation. The pattern interrupt can be as simple as: notice, name, pause. | 4. That's it.","MY TRIGGER INVENTORY: Think of a pattern you want to interrupt. Trace it back: what usually sets it off (person, feeling, situation, time of day)? What does the reaction give you right now in the moment? What does it cost you later? Smallest possible interrupt: when you notice the trigger, what's one word you could say to yourself before the reaction runs? Share your trigger word (not the pattern) with one other person.","Close your eyes. Think of a pattern you keep repeating. Don't judge it. Get curious. If this pattern could talk, what would it say? What is it trying to protect you from? What did it help you handle when you didn't have other tools? You can thank it for that — and still decide you don't need it the same way anymore.",What's one automatic reaction you have that you'd like to pause before it runs? What do you think it's actually protecting?,Use your trigger word once today — even if the pattern still runs. The noticing is enough for now.,Tell one person about the pattern you're working with. Not the details — just that you're working on something.,"Bring one moment from the week where you tried to interrupt a pattern — what happened, even if it didn't go perfectly?",I'm not my reactions. I'm the one who notices them — and that means I have a choice.,https://www.youtube.com/watch?v=RcGyVTAoXEU,"YouTube: Search 'Simon Sinek How to Control Your Emotions' for a practical, accessible take on the pause between stimulus and response. Runtime ~8–12 min.","FADE IN: A teen in a heated moment — face tight, about to say something. VOICE: 'Three seconds. That's all the gap is.' CUT TO: Same teen. A tiny pause. One breath. Something different happens. VOICE: 'You don't have to fight the pattern. You just have to find the gap.' CUT TO: Teen walking away from the situation — not perfectly, but differently. FADE TO TITLE: Mindcast LIVE.",Naming amygdala hijack de-shames the reaction. Keep the trigger inventory light — don't push into trauma territory. The trigger word should be chosen privately by each teen.
4,1,See Clearly,What Your Body Is Telling You,Teen,Reading the Data Your Body Collects,"Your body is constantly sending you signals — about safety, stress, excitement, dread. Most of us learned to ignore them or push through. This week we learn to actually read what the body is saying.",Without thinking about it: where in your body do you feel nervous? Point to it. Where do you feel excitement? How do you know when you're actually hungry vs. just bored? Most people have never been asked these questions.,Your body is like a smartwatch that's been collecting data your whole life. Heart rate spikes before that conversation. Stomach drops before that class. Shoulders rise when that person walks in. The data is there. Most people just haven't learned to read it.,"Ancient practices like yoga, martial arts, and dance were never just physical. They were ways of developing body intelligence — the ability to feel what the body knows before the mind catches up. Modern science confirms what these traditions knew: the gut has as many neurons as a cat's brain. Your body is thinking, even when you're not.","1. The gut-brain connection is real and well-researched. The enteric nervous system contains around 100 million neurons — it communicates directly with the brain and influences mood, decision-making, and stress. 'Gut feelings' are literally that. | 2. Heart rate variability (HRV) is now used by elite athletes and mental health researchers as a real-time measure of nervous system regulation. You can influence it through breathing. | 3. Research by Amy Cuddy found that body posture influences hormone levels — your physical position literally changes your internal chemistry. The body shapes the mind. | 4. Developing 'body literacy' — the ability to read and respond to physical signals — is one of the fastest ways to improve emotional regulation.",SENSATION MAPPING: Facilitator names a scenario and teens put their hand on where they feel it in their body: 'The moment before you walk into a room full of people you don't know.' / 'Getting a really good text from someone you like.' / 'Sunday night before a hard week starts.' / 'That moment when everything just clicks.' Discuss: are these signals or just nerves? What might each one be telling you?,"Close your eyes. Scan down your body slowly, head to feet. No judgment. Just asking: what's here right now? Now ask your body: 'What are you trying to tell me this week?' Wait. Don't think the answer. Feel for it. If your body could speak freely, what would it say?",Think of a time your body gave you a strong signal that you ignored. What happened? What do you wish you'd listened to?,Do a 1-minute body scan at three different times today. Write one word for what you notice each time.,Tell someone one thing your body has been trying to tell you that you've been ignoring.,Bring back one observation from your body scan practice this week.,My body and my mind are the same team. I'm learning to let them work together.,https://www.youtube.com/watch?v=Ks-_Mh1QhMc,TED Talk: 'Your Body Language May Shape Who You Are' by Amy Cuddy — evidence-based exploration of how physical state influences mental and emotional state. Runtime ~21 min.,"FADE IN: A teen athlete — slow motion, body tense before a race. VOICE: 'They're taught to push through nerves. Ignore the body. Just go.' CUT TO: Same athlete later, learning to read the nervous energy differently. VOICE: 'The body isn't trying to stop you. It's loading up everything you need.' CUT TO: Same athlete running — different energy. Confident. FADE TO TITLE: Mindcast LIVE.","Keep this entirely positive and non-aesthetic — this is about intelligence and signals, NOT appearance or fitness standards. Watch for any content that might touch on body image issues."
5,1,See Clearly,The Mirror — How We See Ourselves,Teen,The Comparison Trap and the Real Mirror,"How we see ourselves shapes literally everything — the choices we make, the risks we take, the people we let in. Most teens have a self-image built from comparison, other people's opinions, and their worst moments. This week we build a more honest one.","Quick question — no right answer: When you scroll through social media, do you feel better or worse about yourself afterwards? And does the image you project online match who you actually are?","Social media gives you a highlight reel of everyone else's life. But for yourself, you only see the full unedited version — all the bloopers, doubts, and worst moments. That's not a fair comparison. And it's not an accurate mirror. Today we build a better one.","There's an old story about a young warrior who keeps losing battles because he's fighting the wrong enemy — his own reflection, which he mistakes for an opponent. The battles with ourselves, the harsh self-judgments, the impossible standards — most of the time, we're fighting a distorted image, not reality.","1. Comparison is a brain default — the orbitofrontal cortex constantly evaluates our status relative to others. It's a survival mechanism. But in an era of curated social media, it runs on rigged data. | 2. Research consistently shows that social media use correlates with lower self-esteem and distorted self-image, particularly in adolescence. | 3. The self-concept is actually not fixed — it is malleable, influenced by experience, reflection, and quality of feedback from people we trust. | 4. The goal isn't perfect self-image. It's accurate self-image — genuine strengths AND real areas for growth, without the distortions of shame or performance.","REAL MIRROR vs. COMPARE MIRROR: Two columns. Column A: 'What I actually see when I look honestly at myself' — strengths, limitations, things I'm still figuring out. Column B: 'What I think I look like compared to others' — who do you compare yourself to, in what areas, and is that comparison fair? Key question: Which mirror are you living by? And which do you actually want to use? Share: 'One thing I'm ready to stop comparing' — anonymously if preferred.","Close your eyes. Think of yourself — not performing, not in comparison to anyone, not trying to be anything. Just you, as you are right now. With all the things you're working on and proud of and don't understand yet. What if that was enough to start with?",If your social media profile showed who you actually are — not who you want to be seen as — what would it include that you currently leave out?,"Do a social media audit: after 20 minutes of scrolling, check in with your body. How do you feel? Make a note.",Ask someone who knows you well: 'What do you see in me that I don't seem to see in myself?',Bring back your social media audit observation and the answer from Wednesday's question.,"I am building my self-image on honest ground — not comparison, not performance, not other people's opinions.",https://www.youtube.com/watch?v=Lp7E973zozc,"YouTube: Jonathan Haidt on social media and teen mental health — widely available, evidence-based, highly relevant. Runtime ~15–20 min depending on version.","FADE IN: A phone screen — perfectly curated profile. Filters. Highlight reel. VOICE: 'We spend more time managing how we look than actually looking.' CUT TO: The phone put face down. A real moment — messy, unfiltered, actually funny. VOICE: 'Your real self is not less than your projected self. It's just realer. And that's the one worth knowing.' FADE TO TITLE: Mindcast LIVE.","Highly relevant session for teens. Avoid moralising about social media — stay evidence-based and curious. The social media audit is practical and powerful. Goal is self-awareness, not guilt."
6,1,See Clearly,The Comparison Loop,Teen,The Race With the Moving Finish Line,Comparison is the background noise of teen life — and social media has turned the volume up to maximum. But here's what most people don't know: the comparison loop literally never pays off. Not once. This week we find the exit.,"Be honest: in the last week, how many times did you feel worse about yourself after looking at someone else's social media? How many times better? What's the ratio?","Imagine a race where the finish line keeps moving. Every time you get close, it shifts. That's what the comparison loop does — there's always someone further ahead, always another metric you're not measuring yet. You can run that race forever and never feel like you won. There's another race available. It has a finish line you actually control.",There's an old idea: 'The candle that burns next to the sun looks dim — but light up a dark room and it's extraordinary.' Your life is not measured against the sun. It is measured against the darkness you chose to show up for.,"1. A 2018 study found that limiting social media to 30 minutes per day led to significant reductions in depression and loneliness in university students — within just three weeks. | 2. The comparison brain is particularly active in adolescence — your brain is more wired for social comparison right now than at any other point in your life. That's not weakness. It's developmental. But it means you need to be more intentional about comparison inputs. | 3. Research on what actually predicts teen wellbeing: quality of in-person relationships, sense of purpose, engagement in challenging activity, feeling heard. None of those show up on a highlights reel. | 4. 'Compare and despair' is a phrase used in recovery communities. In this context, comparison is not motivating — it's addictive and depressive.",THE EXIT INTERVIEW: Imagine you are interviewing the Comparison Loop for a job. Write its job description: What does it promise to deliver? What does it actually deliver? What are its side effects? Would you rehire it? Now write the job description for what you WANT instead — what would a healthy inner metric look like? What would it measure? How would you know it was working? Share: what would you measure yourself by if social media didn't exist?,"Eyes closed. Think of something you are genuinely proud of — something you worked for, something that truly belongs to you. Notice how it feels to hold that, compared to how it feels to scroll. That quiet, grounded pride — that's a signal. Not a performance. Yours.",Write three things you've done or overcome in the past year that nobody necessarily saw. Things that were for you. Are they in your self-story?,"For one day, do a conscious comparison fast — notice every comparison thought and redirect to: 'How am I measuring up to my own values today?'",Tell one person about something you're proud of that you rarely talk about. Watch what happens when you claim it.,Bring back what happened on your comparison fast day — what did you notice?,"My story is mine. I measure it by my values, my growth, and my own honest effort.",https://www.youtube.com/watch?v=P6FORpg0KVo,"TED Talk: 'Quit Social Media' by Cal Newport — practical, evidence-based case for intentionality over comparison culture. Runtime ~13 min. Note: not anti-technology, pro-intentionality.","FADE IN: Split screen — one teen posting carefully curated content, watching likes climb. Second teen, phone away, actually living something. VOICE: 'One of them is measuring a life. One of them is performing one.' CUT TO: First teen later, exhausted. Second teen, lit up from the inside. VOICE: 'The comparison loop never pays out. It just keeps running. You have to choose to exit.' FADE TO TITLE: Mindcast LIVE.",The comparison fast is highly practical and can be genuinely transformative. Avoid shaming social media use — frame as intentionality. The 'things nobody saw' exercise is powerful for teens who feel unseen.
7,1,See Clearly,The Inner Critic,Teen,Introducing the Heckler,"That voice in your head that says 'you're not good enough,' 'everyone can see how awkward you are,' 'you'll fail' — we all have one. Today we find out where it came from, why it does what it does, and why listening to it is optional.",Honest question: would you talk to your best friend the way you talk to yourself? If someone said to your best friend what your inner voice says to you on a bad day — would you call that friendship?,"Imagine a heckler in the audience of your life — someone who shows up for every single performance and yells something unhelpful. Now imagine that heckler is YOU. More specifically, it's the part of you that learned to criticise yourself before someone else could. Today we introduce ourselves to the heckler.",In martial arts there's a principle: you don't fight your shadow. You can't. The shadow isn't an enemy — it's just the shape of the light you're blocking. The inner critic is similar. Fighting it directly makes it stronger. What works is shining more light.,"1. The inner critic forms during childhood as a form of pre-emptive protection. If you criticise yourself first, you're less surprised when others do. The brain learned: manage expectations down and you won't be as hurt when you fall short. | 2. But this strategy backfires. Self-criticism DECREASES resilience, motivation, and performance — and INCREASES anxiety and avoidance. The critic doesn't help you improve. It helps you avoid trying. | 3. Self-compassion — treating yourself with the same kindness you'd give a close friend — is associated with higher motivation, greater resilience, and better ability to learn from mistakes. | 4. The difference: the critic is global ('you're a failure'), shame-based, and future-predicting. Healthy reflection is specific, curious, and growth-oriented.","THE HECKLER vs. THE COACH: Write your inner critic's three favourite lines about you. For each one write: 'A good coach who wanted me to actually improve would say...' Notice the difference — the critic shuts down, the coach opens up. Now: what would you need to believe about yourself to replace the critic with the coach? Write that as a statement. Share: the most common thing the heckler says.",Close your eyes. Hear the harshest thing your inner critic says. Really hear it. Now ask: how old is this voice? When did it start? Who does it remind you of? This is not you. This is something you learned. You can learn something different. You already are.,"Write a text message from your inner critic. Then write the reply you'd send it as your wiser, more honest self.",Notice today how often the critic fires. Don't fight it. Just count. Awareness without judgment — for now.,Tell one person something you've been hard on yourself about. Notice what it feels like to say it out loud to someone who's on your side.,Bring back: how many times did the critic fire this week? And did noticing change anything?,I hear the critic. It's not me. I choose the voice of someone who's actually on my side.,https://www.youtube.com/watch?v=IvtZBUSplr4,"YouTube: Kristin Neff TED Talk on self-compassion — same resource as adults, completely accessible for teens. Alternatively search 'how to silence your inner critic animated' for shorter versions. Runtime ~10–20 min.","FADE IN: A teen studying. In the background, a persistent whisper: 'You're not smart enough. Everyone else gets this.' VOICE OVER: 'That voice. You know that voice. It's been there for years.' CUT TO: The teen pausing. Looking up. Something shifting. VOICE OVER: 'But here's the thing — you would never say that to your best friend. Why are you saying it to yourself?' CUT TO: Teen writing something different — a more honest, kinder version of their thoughts. FADE TO TITLE: Mindcast LIVE.",Teen inner critics are often ferocious and normalised — many don't realise how harsh their self-talk is until they compare it to what they'd say to a friend. The 'text message from the critic' exercise is effective and often funny enough to defuse shame.
8,1,See Clearly,Beneath the Surface — Emotions as Data,Teen,Optimising the Notification System,"Feelings aren't weakness. They're not drama. They're data. Every emotion is trying to tell you something — about what you value, what you need, what your limits are. This week we learn to actually read them instead of either ignoring them or getting wrecked by them.",Raise your hand if you've ever reacted to something emotionally and genuinely had no idea WHY you reacted that way. That gap — between the emotion and the meaning — is what we're working on today.,Imagine your emotions are like push notifications. A bad notification system either silences everything (you miss important alerts) or fires constantly for no reason (alert fatigue — you stop caring about all of them). A good system knows what's worth alerting and why. Today we optimise the notification system.,"The samurai tradition had a concept called zanshin — a state of total awareness, including of one's own emotional state. Not the absence of emotion — full awareness of it. The warrior disconnected from their own emotional state is the most dangerous — not because they feel nothing, but because they act without knowing what they're feeling. Emotional intelligence was never considered weakness. It was considered mastery.","1. The ability to name emotions accurately is called 'emotional granularity.' People with high emotional granularity report better mental health, greater resilience, and make better decisions under stress. Low granularity means experiencing everything as either 'good' or 'bad' and responding in blunter, less effective ways. | 2. Research shows teens have the same range of emotions as adults but typically have less practice identifying and naming them — not because they feel less, but because they've had less time and fewer tools. | 3. 'Emotional flooding' — when the nervous system becomes overwhelmed and rational processing shuts down — is associated with poor relationship outcomes and impulsive decisions. The antidote is earlier emotion recognition. | 4. Primary vs secondary emotions: anger is often a secondary emotion covering fear, hurt, or shame. Detecting the primary emotion underneath is usually more useful and more accurate.",EMOTION ARCHAEOLOGY: Think of a recent strong emotional reaction — particularly one that felt disproportionate or confusing. Dig down: What emotion did I express or act from? (Level 1). What emotion was I actually feeling underneath that? (Level 2). And underneath that? (Level 3 — often the most true). Example: Snapped at a friend → anger (L1) → felt ignored (L2) → fear that I don't matter (L3). Share your Level 1 emotion. You don't have to share Levels 2 or 3 if you don't want to.,Close your eyes. Scan for an emotion present for you right now — even a small one. Give it a name. Be specific — not just 'fine' or 'whatever.' Ask it: what are you pointing at? What do you need me to know? Sit with whatever comes. You don't have to fix it. Just let it speak.,Write about an emotion you don't let yourself feel very often. What do you think you're protecting yourself from by keeping it away?,"When you notice a strong feeling today, try to name it with more precision than 'good' or 'bad.' What is it actually?",Tell one person about a feeling you usually hide or dismiss. Not the story — just the feeling and what you think it's actually pointing at.,Bring back one time you practised emotion archaeology this week. What did you find underneath?,My emotions are information. They point at what matters. I'm learning to read them.,https://www.youtube.com/watch?v=tGdsOXZpyWE,YouTube: Marc Brackett on emotional intelligence — search 'Marc Brackett emotion scientist' or his talk on the RULER framework. Alternatively: search 'permission to feel Marc Brackett' for interviews. Runtime ~15–20 min.,"FADE IN: Teenager, headphones in, apparently fine. But something is tight around the eyes. VOICE OVER: 'They'd describe themselves as fine. They've gotten good at that.' CUT TO: Same teen, later, journal open. Writing. VOICE: 'Turns out it wasn't fine. It was something else entirely — something smaller and realer and actually easier to deal with.' CUT TO: Teen, face lighter. Not perfect. Just present. VOICE: 'Emotions aren't the enemy. Unread ones are.' FADE TO TITLE: Mindcast LIVE.",The emotion archaeology exercise is powerful but can surface unexpected material. Have a 'parking lot' option — teens can write things down to process later rather than in the group. The concept of emotional layers is a foundational tool they will use throughout the year.
9,1,See Clearly,The Wounds We Carry,Teen,The Update Nobody Installed on Purpose,"All of us have been hurt — by experiences, relationships, or things that happened that we didn't fully understand. And some of those hurts are still shaping how we act today, even if we've never talked about them. This week we acknowledge what we carry — not to relive it, but to start understanding it.","Honest question — you don't have to answer out loud: is there something that happened in your past — something that hurt — that you think is still affecting how you act today? How you treat people, or how you let people treat you?","Imagine there's an old update running in the background of your operating system — one nobody installed on purpose, one you didn't know was there. It's slowing things down, causing glitches, making some things harder than they should be. That's what unexamined wounds do. Today we find the update.","There's an idea held in many cultures: that the greatest strength doesn't come from having no wounds. It comes from knowing your wounds — their shape, their history, what they've made of you — and continuing anyway. The mark of wisdom is not invulnerability. It is honest, courageous self-knowledge.","1. Research on adverse childhood experiences shows that difficult experiences in childhood — including emotional neglect, bullying, family instability, loss — have measurable effects on the developing brain and nervous system. But awareness and support are the most powerful protective factors. | 2. The teen brain is still developing its stress regulation systems. This means difficult experiences have greater impact during adolescence — AND it means adolescence is also a uniquely powerful time for building new neural pathways. Healing is especially available now. | 3. Avoiding difficult emotional material is one of the most researched predictors of long-term psychological difficulty. Gentle acknowledgment is always better than long-term avoidance. | 4. You are not your wounds. The wound is something that happened. You are the person deciding what to do with it next.","PRIVATE REFLECTION — NOT FOR SHARING: In your journal (private — nobody reads this): write about one thing that hurt you — past or recently — that you think is still with you. How does it show up today? What does it make you do or avoid? If someone who really cared about you knew about this wound, what would they want you to know? Fold your journal closed when done. After writing: take a slow breath. Look around the room. You're here. You're okay.",Close your eyes. Think about something you've been carrying. You don't have to describe it or fix it or share it. Just — for one minute — let yourself know that you know it's there. That you're not pretending. That's brave. That's more brave than most people ever manage.,Write privately: what is one coping strategy I use that I think came from being hurt? Is it still helping me — or costing me more than it gives?,Notice once today when something small triggers a big feeling — and ask yourself: 'Does this feel older than now?',If there's one person in your life you trust — just one — consider telling them one small true thing about what you carry. Notice what happens.,Bring back: did anything shift this week after the journalling exercise? You don't have to share what — just whether the awareness felt different.,What happened to me does not define me. I see it. I carry it honestly. And I decide what happens next.,https://www.youtube.com/watch?v=95ovIJ3dsNk,TED Talk: 'How Childhood Trauma Affects Health Across a Lifetime' by Nadine Burke Harris — fully accessible for teens and deeply relevant. Runtime ~16 min.,"FADE IN: A teen's face — composed, fine, managing. VOICE: 'They're good at this. Most of us are.' CUT TO: Journal open. First honest words written. VOICE: 'The wound doesn't define you. But pretending it isn't there doesn't help you either.' CUT TO: Same teen, later. Not fixed — but lighter. More honest. VOICE: 'Seeing it is the first act of strength.' FADE TO TITLE: Mindcast LIVE.","CRITICAL: Ensure journalling is explicitly PRIVATE and cannot be read by facilitators or peers without consent. Have a wellbeing resource card available (counsellor contacts, helpline numbers) for anyone who needs support. Follow mandatory reporting requirements if any disclosures indicate current safety risks."
10,1,See Clearly,The Masks We Wear,Teen,Which One Is Actually You?,"Pretty much everyone your age is performing — performing toughness, coolness, confidence, happiness, not-caring. Some of it is genuinely useful social navigation. But when you can't remember who you are underneath the performance, that's when it starts costing you. Today we look at the masks.","Quick and honest: rate yourself 1–10 on how authentic you are in these contexts — with parents, with close friends, at school, on social media, when alone. What does the range tell you?","Think of your social profiles, your group chat persona, your school version, your home version. How many different 'yous' are you maintaining right now? And which one, if any, is closest to the actual you? Today we find out.","There's an old concept from theatre: the mask was always meant to serve the story — and when the play is over, it comes off. The problem we're exploring today is what happens when the play never ends, and you start to forget you're even wearing a mask.","1. Code-switching — adapting language, tone, and presentation to different social contexts — is a real and sometimes necessary social skill. Research shows it has psychological costs when it feels compelled rather than chosen. | 2. Social identity theory shows that how we present to groups shapes how we think about ourselves — the performance becomes part of the identity over time. What we pretend long enough, we can become. Both positively and negatively. | 3. Research on loneliness specifically identifies 'masked connection' — being with people but not being truly known — as one of its most common and painful forms. You can be in a crowd and be completely alone if nobody sees the real you. | 4. Authenticity in adolescence is complicated by the genuine developmental need to explore multiple identities. Trying on different versions of yourself is not inauthentic — it is developmentally appropriate. The issue is when experimentation becomes permanent performance driven by fear.","AUTHENTICITY MAP: Draw yourself in the middle of a page. Around you draw the different contexts of your life (friend groups, home, school, online). For each context: draw how much of 'you' actually shows up there — you could use percentages. Now: where do you feel most like yourself? Why? Where do you feel most masked? What are you protecting there — and from what? Share: one context where you feel most real, and one where you feel most masked.","Close your eyes. Think about who you are when nobody else's opinion matters — no social media, no judgments, no performance required. What does that version of you care about? What makes them laugh? What do they actually want? How much time does that person get?",Write a letter from your authentic self to your most performative self. What does the real you want the performed version to know?,Notice once today when you shift into performance mode. Ask yourself: is this genuinely necessary — or just habit?,Show one person — even a little — something real about you that you usually manage or hide. Watch what happens.,Bring back: what happened when you tried showing something real? What did it feel like?,I know who I am underneath the performance. And that person is worth knowing.,https://www.youtube.com/watch?v=IVlU-2OBdts,"YouTube: 'To This Day' — Shane Koyczan spoken word animation about identity, performance, and the cost of hiding. Intensely moving, highly relevant to teens. Runtime ~8 min.","FADE IN: Split screen — same teen in four different social contexts. Four slightly different faces, voices, postures. VOICE: 'Which one is actually them?' CUT TO: All four versions dissolve. One person left — tired. Real. VOICE: 'That one. The one who's tired of managing.' CUT TO: Same person, with one real friend. The face relaxes. Something genuine. VOICE: 'That's the one worth showing up as.' FADE TO TITLE: Mindcast LIVE.",Let teens make the authenticity map as creative as they want. Honour the developmental complexity — trying on identities is appropriate at this stage. Avoid implying that being 'themselves' is simple or that they should know exactly who that is yet.
