Week,Phase,Block Theme,Weekly Theme,Adult Video Title,Adult URL,Teen Video Title,Teen URL,Kids Video Title,Kids URL,Kids Picture Book
1,1,See Clearly,The Signal and the Noise,Emotional Labour: The Invisible Mental Load,https://www.youtube.com/watch?v=kJ_Gg5DPCQU,7 Hard Truths for Teens,https://www.youtube.com/watch?v=Thlbqg2sKEM,Listening to My Body by Gabi Garcia,https://www.youtube.com/watch?v=UOsxlVpQT14,The Colour Monster by Anna Llenas
2,1,See Clearly,The Stories We Carry,Brené Brown: The Power of Vulnerability,https://www.youtube.com/watch?v=iCvmsMzlF7o,Brené Brown: The Power of Vulnerability,https://www.youtube.com/watch?v=iCvmsMzlF7o,,,What Do You Do With a Problem? by Kobi Yamada
3,1,See Clearly,The Pattern Interrupt,Lisa Feldman Barrett: You Aren't at the Mercy of Your Emotions,https://www.youtube.com/watch?v=ZizdB0TgAVM,Lisa Feldman Barrett: You Aren't at the Mercy of Your Emotions,https://www.youtube.com/watch?v=ZizdB0TgAVM,,,"When Sophie Gets Angry — Really, Really Angry by Molly Bang"
4,1,See Clearly,What Your Body Is Telling You,Amy Cuddy: Your Body Language May Shape Who You Are,https://www.youtube.com/watch?v=Ks-_Mh1QhMc,Amy Cuddy: Your Body Language May Shape Who You Are,https://www.youtube.com/watch?v=Ks-_Mh1QhMc,,,In My Heart: A Book of Feelings by Jo Witek
5,1,See Clearly,The Mirror — How We See Ourselves,Tasha Eurich: What Self-Awareness Really Is,https://www.youtube.com/watch?v=haLsNaHmBhE,Tasha Eurich: What Self-Awareness Really Is,https://www.youtube.com/watch?v=haLsNaHmBhE,,,I Am Enough by Grace Byers
6,1,See Clearly,The Comparison Loop,Cal Newport: Quit Social Media,https://www.youtube.com/watch?v=P6FORpg0KVo,Cal Newport: Quit Social Media,https://www.youtube.com/watch?v=P6FORpg0KVo,,,Giraffes Can't Dance by Giles Andreae
7,1,See Clearly,The Inner Critic,Kristin Neff: Self-Esteem vs Self-Compassion,https://www.youtube.com/watch?v=IvtZBUSplr4,Kristin Neff: Self-Esteem vs Self-Compassion,https://www.youtube.com/watch?v=IvtZBUSplr4,,,Wemberly Worried by Kevin Henkes
8,1,See Clearly,Beneath the Surface — Emotions as Data,Lisa Feldman Barrett: You Aren't at the Mercy of Your Emotions,https://www.youtube.com/watch?v=HJSK3HpgFdM,Lisa Feldman Barrett: You Aren't at the Mercy of Your Emotions,https://www.youtube.com/watch?v=HJSK3HpgFdM,,,Grumpy Monkey by Suzanne Lang
9,1,See Clearly,The Wounds We Carry,Nadine Burke Harris: How Childhood Trauma Affects Health,https://www.youtube.com/watch?v=95ovIJ3dsNk,Nadine Burke Harris: How Childhood Trauma Affects Health,https://www.youtube.com/watch?v=95ovIJ3dsNk,,,The Invisible String by Patrice Karst
10,1,See Clearly,The Masks We Wear,Brené Brown: The Power of Vulnerability,https://www.youtube.com/watch?v=iCvmsMzlF7o,Brené Brown: The Power of Vulnerability,https://www.youtube.com/watch?v=iCvmsMzlF7o,,,"Stand Tall, Molly Lou Melon by Patty Lovell"
11,1,See Clearly,Seeing Others Clearly,Brené Brown / RSA: The Power of Empathy,https://www.youtube.com/watch?v=baHrcC8B4WM,Brené Brown / RSA: The Power of Empathy,https://www.youtube.com/watch?v=baHrcC8B4WM,,,We're All Wonders by R.J. Palacio
12,1,See Clearly,The Habit Loop — How We Got Here,Charles Duhigg: The Power of Habit (summary),https://www.youtube.com/watch?v=-moW9jvvMr4,Charles Duhigg: The Power of Habit (summary),https://www.youtube.com/watch?v=-moW9jvvMr4,,,The Bad Seed by Jory John
13,1,See Clearly,Integration — What We Now See,David Foster Wallace: This Is Water,https://www.youtube.com/watch?v=sPOuCd6cBao,David Foster Wallace: This Is Water,https://www.youtube.com/watch?v=sPOuCd6cBao,,,The Journey by Francesca Sanna
14,2,Unlearn,The Permission You're Still Waiting For,Tim Ferriss: Define Your Fears Instead of Your Goals,https://www.youtube.com/watch?v=iG9CE55wbtY,Tim Ferriss: Define Your Fears Instead of Your Goals,https://www.youtube.com/watch?v=iG9CE55wbtY,,,What Do You Do With an Idea? by Kobi Yamada
15,2,Unlearn,Letting Go of Who You Were Supposed to Be,Emily Esfahani Smith: There's More to Life Than Being Happy,https://www.youtube.com/watch?v=NiuDFBNDoSk,Emily Esfahani Smith: There's More to Life Than Being Happy,https://www.youtube.com/watch?v=NiuDFBNDoSk,,,The Dot by Peter Reynolds
